ship_imo_number,co2_real,oof_xgboost,oof_red
9685499,5257.7759,6168.90625,8591.32682764213
9685504,5837.1,6209.6005859375,8446.0975586331
9686273,5834.8466,5034.91796875,4909.0828377738135
9686546,678.7572,818.5751953125,1032.9550887929963
9686699,2483.3871,2916.893310546875,3357.844126509757
9686754,7239.284,8865.767578125,8903.37210584427
9686857,9585.9436,9203.4375,10048.068821905645
9686869,7909.098,6903.7822265625,6460.46984328096
9686871,12956.4988,15555.6181640625,13658.009442583038
9686883,10274.8497,11196.705078125,10736.267615891118
9686900,45982.4775,46136.7890625,46267.93086919888
9686912,44064.8918,48783.33203125,45450.882375201734
9686986,2322.2699,2547.68896484375,2740.500989609509
9687019,18952.7058,20685.6484375,20847.874285144855
9687095,3007.4109,3634.486083984375,3539.007801032122
9687112,1596.9055,2144.720703125,2162.7736933708265
9687148,2294.0118,2264.077392578125,2541.8169787035413
9687150,8595.6362,12366.6357421875,9870.839306656664
9687227,9768.5454,8984.8505859375,9767.49542166006
9687239,10761.5803,9829.8974609375,10571.568620443553
9687306,19529.3955,19825.87109375,24812.54880284134
9687485,5103.8906,3777.468994140625,4392.470419867193
9687497,18231.7938,13347.8876953125,13300.164884667116
9687502,17662.6872,12137.296875,11760.292760397939
9687514,2507.0083,1835.189453125,2251.0922550620216
9687679,4346.442,5366.55224609375,5253.078657838615
9687708,2381.6024,2616.244140625,2610.78748989214
9687710,8100.9311,5997.7763671875,6341.6112279849285
9687746,4543.0188,6157.23974609375,6003.013784246451
9687760,1010.4666,1048.5875244140625,1232.6806745939139
9687849,3705.6262,6701.92431640625,6147.666449608037
9687942,3603.2415,3464.616455078125,3461.7422084333357
9688219,4284.9907,5807.96728515625,5704.0384346035025
9688350,2969.3059,3418.8544921875,3566.413128416947
9688374,11494.0057,10626.166015625,10642.67243337948
9688427,4518.8796,4667.5537109375,5398.427537693647
9688635,5579.4699,5139.44384765625,5239.430345376421
9688829,7673.1369,9461.646484375,9481.013115112884
9688843,1917.3479,1948.77001953125,2387.1777795172993
9688855,404.8538,466.1033630371094,664.593199155599
9689562,1658.8919,2564.179931640625,2852.5866614500055
9689574,2099.34,2564.179931640625,2972.7532245270086
9689615,12072.1079,11222.537109375,11261.901173634462
9689677,0.0,0.0,446.9950192863198
9689689,0.0,0.0,429.6230486125696
9689691,0.0,94.8863754272461,512.3803356821954
9689706,0.0,7.763140678405762,529.7658966645031
9689811,9782.7886,11854.5654296875,12286.862596270812
9689897,2419.8507,3097.47412109375,3100.1639162108368
9690092,8768.5344,9425.6181640625,12221.208884496431
9690107,9765.8656,10478.6806640625,12976.439172876073
9690133,4269.7594,4221.15625,4098.220368400656
9690145,19467.04,21841.513671875,33356.93004931831
9690157,26005.586,41427.1171875,42029.793064016514
9690169,8309.711,8870.46875,8778.7327729446
9690171,26770.4079,32613.44140625,32441.25272371919
9690509,1979.5358,3166.779296875,3285.910460213735
9690547,8886.4846,6645.90966796875,5962.634077938843
9690559,7734.6123,5787.44482421875,5971.697705682154
9690614,6415.1085,5476.607421875,5470.967454361569
9690626,5727.9454,5435.5537109375,5438.597762232826
9690810,9942.5801,9769.9892578125,10143.360889573862
9690822,1449.455,1995.56982421875,2081.9527470090434
9690846,4305.9619,4459.72802734375,4177.864981635074
9691034,1266.9764,1248.8720703125,1425.861192620754
9691046,5907.45,7411.89599609375,7216.912144564697
9691149,0.0,0.0,0.0
9691163,3599.2674,4953.26513671875,4302.425063711705
9691400,4914.1328,4886.89208984375,5035.11837522237
9691424,2201.4822,1951.1015625,2112.3710283834907
9691553,3615.2898,4040.145751953125,3433.9764360303125
9691565,5705.2522,6530.9189453125,6367.8653830285175
9691577,2627.8778,3692.49609375,3928.806316158367
9691589,8160.7237,10513.3359375,10315.634241393609
9691620,4789.4793,5493.25732421875,5563.116349406272
9691632,8905.8077,10883.5361328125,9635.673535300983
9691644,224.4521,0.0,419.3872707433475
9691723,10502.7048,10958.6474609375,10358.457439677011
9691931,4160.4972,2450.080078125,2569.394542920427
9692002,12493.08,12842.6396484375,16434.804872394936
9692014,22628.902,21033.423828125,32045.7299370673
9692129,11109.6546,10218.583984375,10271.20183471596
9692131,4930.994,5503.54052734375,5379.208772093497
9692143,10514.292,11117.310546875,11361.60574642242
9692246,8427.8084,4982.294921875,5050.731172288551
9692313,4130.3772,4675.58349609375,4760.178630378649
9692325,5345.0949,5026.45166015625,5279.80843181163
9692375,2340.6188,2464.104248046875,2373.1341467401344
9692416,4558.3985,5915.50927734375,5980.906331647516
9692478,1261.5642,1611.081298828125,1419.9616947343966
9692650,0.0,164.40504455566406,208.19191141125884
9692715,674.0979,785.9126586914062,808.9336975181959
9692727,161.5664,0.0,286.676638224626
9692739,4408.7787,6358.38525390625,5999.586082871225
9692818,2067.1758,2257.092529296875,1853.0366280162107
9692820,2839.207,2037.635009765625,2019.4511958253242
9692832,1814.2133,1918.876220703125,2096.497161942645
9692844,992.5511,880.3203735351562,1518.5559981577735
9692856,5022.7613,4109.2783203125,3643.0666270095353
9693018,8378.488,8285.5849609375,8782.122417668194
9693020,4150.614,3513.263916015625,3574.814660600073
9693056,6950.851,6600.78271484375,6683.669788377207
9693068,9290.6299,11391.7060546875,12032.311829833689
9693070,12392.8979,14406.2275390625,14929.98717833532
9693109,1222.031,2070.37841796875,2339.2443356020403
9693214,4869.474,6739.18798828125,6687.508651081291
9693290,2558.0799,3266.4970703125,3458.0015146492724
9693329,7281.258,9032.931640625,8260.550730899344
9693331,6084.755,6339.09326171875,6363.574410450006
9693410,5763.7724,6195.150390625,6467.773452588909
9693496,2965.399,2470.8583984375,2745.9548355707775
9693501,2188.214,2095.38134765625,2063.349384672847
9693745,12031.7885,11131.345703125,11388.05684804069
9694359,13212.6274,11000.2685546875,11538.165798276195
9694373,10537.616,8831.9462890625,9232.76041819564
9694426,10218.3586,14075.66796875,15715.639120376283
9694438,13262.0652,27793.255859375,29155.065708318965
9694488,5636.2803,5391.986328125,5542.893981515796
9694531,15492.2743,21514.228515625,24440.86531299542
9694543,2397.3968,3403.693359375,3866.851561045949
9694567,3725.5936,5667.828125,6578.503248733574
9694646,15751.9774,16387.55078125,15520.055148891728
9694684,2802.4515,2968.2060546875,3181.6736851716996
9694696,6635.2786,7456.74609375,7751.783088669139
9694921,6127.2181,5131.7666015625,5422.8892998757365
9695004,5517.2687,6673.9609375,6254.009456444725
9695028,20842.8577,22675.5,24259.04290404675
9695119,2129.7143,1765.482421875,1835.5521674114661
9695145,55689.1307,53541.66796875,49400.768999552034
9695224,4818.054,5232.22607421875,4886.796403864483
9695640,5011.7162,5395.16259765625,5049.5301133989215
9695834,3125.1481,3148.1982421875,3222.597340362261
9696101,6549.0326,6225.96484375,6271.812334893822
9696254,5272.0432,5435.33349609375,5498.593738376672
9696450,6511.3417,5529.947265625,5543.854865965794
9696462,1042.6537,968.7398071289062,961.2399915697715
9696474,2589.4386,2080.76806640625,2291.9518267941094
9696553,11013.9295,9954.8603515625,10193.646601178234
9696565,12386.389,10354.2099609375,10021.061384183664
9696589,11639.6806,15978.0908203125,13736.971577071885
9696682,6311.6052,8865.63671875,9282.121512332636
9696694,5117.1514,11538.22265625,11895.668443678393
9696709,1012.0514,1714.021484375,1756.2501385163578
9696761,12360.0814,14013.2705078125,14161.204532921909
9696773,11054.8579,16764.421875,16604.799632837225
9696797,2234.9503,2348.787841796875,2507.16506484991
9696826,2194.5268,2292.1376953125,2405.378617622676
9697143,3173.612,3532.135009765625,3888.1238787106013
9697155,3472.858,4036.386474609375,4124.345617692291
9697210,2547.3572,2704.8671875,2948.915168212494
9697222,6052.3837,6141.82958984375,6086.5515890096385
9697246,5135.6112,4130.43310546875,4512.641898670455
9697301,5602.3647,4173.455078125,3843.0813715052345
9697600,3555.984,4039.996337890625,3612.0719120109525
9697624,9714.1862,11691.9814453125,10952.34960509297
9697636,2663.8238,2639.96142578125,3180.109992085403
9697806,8276.0537,10095.6162109375,8892.659116688388
9697818,5261.8848,5513.3212890625,5408.953908255296
9697832,3861.2403,3750.33447265625,3984.269869201754
9697844,5021.1973,4694.7705078125,4639.260454708546
9697856,8877.1104,9812.5654296875,8753.12811783056
9697909,4631.3488,4020.98193359375,4232.796979646771
9698238,5695.3182,7216.958984375,7416.27236259526
9698305,2048.1103,2002.03125,2153.9441019466703
9698317,2719.2236,2652.786865234375,2792.940100384416
9698795,2957.885,3243.142822265625,3433.739509403189
9698800,0.0,0.0,165.5383784833939
9698862,1585.2414,2123.19091796875,2234.0529880003833
9698874,3343.7171,4674.994140625,4453.958999781902
9698953,2919.5693,2964.311279296875,2989.449975971879
9699115,14352.2173,15480.1923828125,15372.623845893528
9699127,31555.568,38133.5,39602.3086897913
9699177,1829.4534,2287.012939453125,2397.3271680357493
9699189,7043.1912,9955.302734375,10379.7023126529
9699191,2985.0804,4221.91259765625,5051.460769973643
9699206,20976.6633,23713.404296875,23539.826633972923
9699347,4569.9474,5038.85595703125,5301.835130539771
9699359,6689.1,5664.294921875,5731.817641781624
9699361,1111.7528,1194.50830078125,1423.360355737932
9699373,9692.0874,8195.1845703125,8138.538707387224
9699440,6232.5455,5715.28125,5462.123355765322
9699517,6491.5645,11407.6201171875,9426.633874420715
9699634,4068.7652,3561.736572265625,3075.258689567064
9699701,12025.4498,8266.7724609375,8776.6270977233
9699725,6943.6425,6674.232421875,8661.67982415881
9699842,10225.3572,11773.8251953125,10075.201743886035
9699854,4101.8097,4316.2177734375,4302.333522818212
9699866,3144.8599,2944.1767578125,2958.241496338691
9699957,1593.5904,1782.34912109375,2266.807479627575
9699995,2001.8264,1912.3502197265625,2109.340122429663
9700005,5569.8632,5939.455078125,5528.057314948332
9700029,2542.0572,2660.071533203125,2731.502013502096
9700031,6866.86,6339.09326171875,6389.039963415007
9700081,3216.2011,3314.166259765625,3468.0677954510775
9700134,4911.3914,5082.47119140625,5115.68767653446
9700146,991.4309,940.2780151367188,1007.1135068488984
9700316,6790.0076,11690.9013671875,8869.52527657054
9700330,1250.1925,1243.3719482421875,1342.1563079229363
9700342,8947.935,8737.2734375,9254.881104529808
9700380,3742.5122,4801.771484375,4756.723140006708
9700392,5331.7261,6151.76025390625,6870.736732737831
9700421,1068.683,920.0376586914062,986.1212305566114
9700469,4976.1704,5557.18701171875,5828.538797874952
9700471,2729.1498,2454.94189453125,2435.54077338403
9700512,15549.4191,15425.4580078125,14950.443486532578
9700524,15131.3108,16310.4423828125,15744.696194091099
9700677,4445.4064,4177.99755859375,4340.998315754418
9700689,3875.8926,4768.59375,4704.957114522725
9700691,2221.4588,4102.259765625,3892.244850513038
9700706,6007.0515,9885.7138671875,10087.74317738225
9700794,3229.6983,4500.5869140625,4404.881399462051
9700811,3118.1437,3681.64990234375,4013.290238952155
9700859,2092.007,2021.57861328125,2174.5477625170925
9700873,4848.8886,8892.1455078125,8938.852540170878
9701011,7274.4049,6690.02734375,6178.1278012972
9701047,1642.637,2451.17724609375,2445.4205309473546
9701140,11526.145,13606.9375,13815.729970124103
9701152,3634.0087,5118.9892578125,4901.313109929685
9701164,5269.3185,6797.7119140625,7416.087028672266
9701231,1965.1305,3748.76025390625,3761.161236481751
9701243,7655.8584,8485.8173828125,7340.4159643065395
9701554,5695.4996,4450.95458984375,4407.171147184996
9701566,16172.4126,15269.466796875,15069.89048645243
9701798,9166.0544,7215.65234375,7636.449052578577
9701920,2759.2076,2559.34375,2722.301901157023
9701932,1463.2518,2063.62744140625,2164.4331938272026
9702039,6948.571,10113.1357421875,10653.543011402327
9702041,8681.2562,8426.76171875,8848.887075885603
9702077,48330.1008,47589.4609375,42257.02676676578
9702089,34780.4003,25451.9375,24396.906518883876
9702091,55775.6584,50792.30859375,47176.57827343633
9702132,37766.6325,34651.1171875,34960.37085249095
9702156,61878.2364,50532.6796875,53012.58375563116
9702194,10920.3874,9474.162109375,9679.241199889191
9702211,2949.18,3212.933349609375,3451.347323882339
9702223,8616.7087,7020.7666015625,7258.005679608078
9702261,56498.7159,42935.93359375,38960.5908847746
9702273,47956.5319,46159.74609375,41624.483363320025
9702405,14486.7854,15016.3076171875,14515.39424745123
9702429,3271.2749,2947.3115234375,3248.8355661594987
9702431,10239.4815,8832.5087890625,9031.926623406198
9702443,18608.9974,16594.947265625,16732.773452904214
9702455,8102.1228,9940.0751953125,9503.835515339597
9702493,6733.3053,6302.541015625,6458.937942888825
9702508,3506.3186,3295.363037109375,3437.0361276616904
9702596,3829.1848,3751.771484375,3643.7961330504386
9702601,10437.4898,10627.8984375,10187.537796606945
9702998,0.0,0.0,189.12065787613028
9703150,208.39,773.4148559570312,3580.2389823940493
9703291,8938.7936,9331.1220703125,8655.456022202143
9703306,26633.3101,18874.55859375,18047.758328390304
9703318,13183.5162,12166.634765625,11944.276979386223
9703320,20940.1278,19198.546875,18620.683773149627
9703332,17583.1694,19158.5625,19321.10932978947
